,ID,Confidence,Boro,Date,Latitude,Longitude,Postcode,GoogleStreetViewURL
52,8403453,1.0,Manhattan,2023-09-01,40.767963,-73.96824,10037,"https://www.google.com/maps/@40.767963,-73.96824,3a,20y,104.05h,72.26t/data=!3m6!1e1!3m4!1sfAfRtnU4r0vRY8UR_MSJ8g!2e0!7i16384!8i8192?entry=ttu"
53,8403471,0.5,Manhattan,2023-09-01,40.767963,-73.96824,10037,"https://www.google.com/maps/@40.767963,-73.96824,3a,20y,111.69h,73.19t/data=!3m6!1e1!3m4!1sfAfRtnU4r0vRY8UR_MSJ8g!2e0!7i16384!8i8192?entry=ttu"
54,8565590,1.0,Manhattan,2022-07-01,40.77724,-73.98237,10023,"https://www.google.com/maps/@40.77724,-73.98237,3a,20y,326.07h,93.43t/data=!3m6!1e1!3m4!1sFazB1GkWOmotFN9VRUQWkg!2e0!7i16384!8i8192?entry=ttu"
55,9202607,0.5,Manhattan,2022-07-01,40.72566,-74.004,10019,"https://www.google.com/maps/@40.72566,-74.004,3a,20y,306.32h,89.97t/data=!3m6!1e1!3m4!1seqlrIQX8ivlRaj4ZjfDKhw!2e0!7i16384!8i8192?entry=ttu"
56,9202616,0.5,Manhattan,2022-07-01,40.72566,-74.004,10019,"https://www.google.com/maps/@40.72566,-74.004,3a,20y,303.49h,97.44t/data=!3m6!1e1!3m4!1seqlrIQX8ivlRaj4ZjfDKhw!2e0!7i16384!8i8192?entry=ttu"
57,9919242,0.5,Manhattan,2021-07-01,40.740765,-74.004906,10011,"https://www.google.com/maps/@40.740765,-74.004906,3a,20y,172.73h,88.61t/data=!3m6!1e1!3m4!1s-Na6e5T5L8yLELhlur7PYA!2e0!7i16384!8i8192?entry=ttu"
58,9919244,0.5,Manhattan,2021-07-01,40.740765,-74.004906,10011,"https://www.google.com/maps/@40.740765,-74.004906,3a,20y,181.59h,91.54t/data=!3m6!1e1!3m4!1s-Na6e5T5L8yLELhlur7PYA!2e0!7i16384!8i8192?entry=ttu"
59,10365130,0.5,Manhattan,2021-07-01,40.746418,-73.99021,10001,"https://www.google.com/maps/@40.746418,-73.99021,3a,20y,315.58h,89.88t/data=!3m6!1e1!3m4!1sOnCYyXE7CufTm-mS3cFywg!2e0!7i16384!8i8192?entry=ttu"
60,10379363,0.5,Manhattan,2023-03-01,40.710228,-74.007774,10038,"https://www.google.com/maps/@40.710228,-74.007774,3a,20y,319.02h,94.61t/data=!3m6!1e1!3m4!1s9rNekgIbiFCiiqK2v-NFRw!2e0!7i16384!8i8192?entry=ttu"
61,10618239,0.5,Manhattan,2022-08-01,40.736965,-73.99593,10011,"https://www.google.com/maps/@40.736965,-73.99593,3a,20y,352.94h,87.01t/data=!3m6!1e1!3m4!1s2GJ0L3ENh3r9VX3SyhU0IA!2e0!7i16384!8i8192?entry=ttu"
